image_id,rig_frame_id,camera,timestamp_ns,capture_fraction,split_v9,battery_member,battery_faces,tile_ids,environment,lidar_ceiling_pts,lidar_wall_sectors,stationary,x_m,y_m,z_m,pose_source
img_972156b97cd01036788d2d93,rig_cadcf89307b35ca8d6de3827,left,1772726390343323904,0.0452,train,False,,2|3,outdoor,0,5,False,0.7439,0.1926,0.9011,accepted_independent_pos_prior_at
img_a845da47748e8a6ca297bb3a,rig_b657874324625bd3f19ad991,right,1772726390843336960,0.0475,train,False,,0|1|2|3,outdoor,0,5,False,0.446,0.1627,1.2406,accepted_independent_pos_prior_at
img_57c2604724963389dad6b8fc,rig_b657874324625bd3f19ad991,left,1772726390843351808,0.0475,train,False,,1|2|3,outdoor,0,5,False,0.446,0.1627,1.2406,accepted_independent_pos_prior_at
img_864756b6e6d7af01e546481e,rig_0c8aaeaf8cc9714a437895cb,right,1772726391343368960,0.0498,train,True,yaw_plus_35,0|1|2|3,outdoor,0,5,False,0.0917,0.0799,1.3817,accepted_independent_pos_prior_at
img_b2ca7d398dbb3a51d6b172e1,rig_0c8aaeaf8cc9714a437895cb,left,1772726391343385088,0.0498,train,True,yaw_plus_35,1|2|3,outdoor,0,5,False,0.0917,0.0799,1.3817,accepted_independent_pos_prior_at
img_3674d4aa9eeeccc919db54a9,rig_9838789f9a6a87aba15b73bf,right,1772726391843453952,0.052,train,True,pitch_down_56,0|1|2|3,outdoor,0,4,False,-0.2305,0.082,1.4034,accepted_independent_pos_prior_at
img_0e90c061ce70226ad4b32bed,rig_9838789f9a6a87aba15b73bf,left,1772726391843456000,0.052,train,True,pitch_up_56,1|2|3,outdoor,0,4,False,-0.2305,0.082,1.4034,accepted_independent_pos_prior_at
img_ea26996fa398f540eb0ce21a,rig_1d61027fe342b36f3c325c8a,right,1772726392343447808,0.0543,train,False,,0|1|2|3,outdoor,0,3,False,-0.4882,0.1435,1.3826,accepted_independent_pos_prior_at
img_ce4c8b78f0d154af4ad15c0f,rig_1d61027fe342b36f3c325c8a,left,1772726392343450112,0.0543,train,False,,1|2|3,outdoor,0,3,False,-0.4882,0.1435,1.3826,accepted_independent_pos_prior_at
img_a9801515c4acedf4f042d6ee,rig_3c64bb05b7b5c9abf9f8ea57,right,1772726392843508992,0.0566,train,False,,0|1|2|3,outdoor,0,3,False,-0.6815,0.0902,1.3823,accepted_independent_pos_prior_at
img_46f7e3520c57796e33d0dd24,rig_3c64bb05b7b5c9abf9f8ea57,left,1772726392843512064,0.0566,train,True,yaw_minus_35,1|2|3,outdoor,0,3,False,-0.6815,0.0902,1.3823,accepted_independent_pos_prior_at
img_10530dbf7d673c59270af5e2,rig_3a9d46edf8ddc75aac3a8541,right,1772726393343502080,0.0588,train,False,,0|1|2|3,outdoor,0,5,False,-0.885,0.0208,1.3841,accepted_independent_pos_prior_at
img_4482606b56ce83da57f0a986,rig_3a9d46edf8ddc75aac3a8541,left,1772726393343517184,0.0588,train,False,,1|2|3,outdoor,0,5,False,-0.885,0.0208,1.3841,accepted_independent_pos_prior_at
img_7e1c9e745aed152b1e706429,rig_f8e970507b82986a3831673c,right,1772726393843569920,0.0611,train,True,pitch_down_56,0|1|2|3,outdoor,0,4,False,-0.9206,0.1699,1.3737,accepted_independent_pos_prior_at
img_4767ec0db6e2111433779ace,rig_f8e970507b82986a3831673c,left,1772726393843571968,0.0611,train,True,pitch_down_56,1|2|3,outdoor,0,4,False,-0.9206,0.1699,1.3737,accepted_independent_pos_prior_at
img_764fe29b4e1960f79bb29e3d,rig_3d9d76b364297e6d0323be2b,right,1772726394343603968,0.0633,train,False,,0|1|2|3,outdoor,20,5,False,-0.8671,0.5232,1.3505,accepted_independent_pos_prior_at
img_a32938d8e900c340762569b1,rig_3d9d76b364297e6d0323be2b,left,1772726394343606016,0.0633,train,False,,2|3,outdoor,20,5,False,-0.8671,0.5232,1.3505,accepted_independent_pos_prior_at
img_4dc8f84b30561037eb7ae084,rig_0ec87fa7eec60a30376bb767,right,1772726394843634944,0.0656,train,False,,0|1|2|3,outdoor,0,5,False,-0.7279,0.7902,1.3451,accepted_independent_pos_prior_at
img_14760453402721edd574fe64,rig_0ec87fa7eec60a30376bb767,left,1772726394843636992,0.0656,train,False,,2|3,outdoor,0,5,False,-0.7279,0.7902,1.3451,accepted_independent_pos_prior_at
img_e42f586216482cf4776c2f4f,rig_9046f76f1478053c9ede3a0a,right,1772726395343628800,0.0679,train,False,,0|1|2|3,outdoor,0,6,False,-0.4628,1.0055,1.3677,accepted_independent_pos_prior_at
img_4c939a2934d534171cff834e,rig_9046f76f1478053c9ede3a0a,left,1772726395343644928,0.0679,train,True,yaw_plus_35,2|3,outdoor,0,6,False,-0.4628,1.0055,1.3677,accepted_independent_pos_prior_at
img_f4e71c9e7ff3353987c9c41a,rig_5ee177202cb8d68c8541b2a5,right,1772726395843659776,0.0701,train,False,,0|1|2|3,outdoor,0,5,False,-0.1721,1.2364,1.3701,accepted_independent_pos_prior_at
img_4e3bab9abc88385e6174502c,rig_5ee177202cb8d68c8541b2a5,left,1772726395843675904,0.0701,train,True,yaw_minus_35,2|3,outdoor,0,5,False,-0.1721,1.2364,1.3701,accepted_independent_pos_prior_at
img_495d939ae647085d401c5718,rig_160ad198af150b5eea3e794e,right,1772726396343687936,0.0724,train,False,,0|1|2|3,outdoor,0,4,False,0.1579,1.4667,1.3806,accepted_independent_pos_prior_at
img_6b1b0c8108862b9717715345,rig_160ad198af150b5eea3e794e,left,1772726396343704832,0.0724,train,True,yaw_minus_35,2|3,outdoor,0,4,False,0.1579,1.4667,1.3806,accepted_independent_pos_prior_at
img_c6c64c84f33e7ba57d01e36f,rig_2cdcb12b87524dcabf8ab53f,right,1772726396843715840,0.0747,train,True,pitch_up_56,0|1|2|3,outdoor,0,4,False,0.5381,1.6896,1.3881,accepted_independent_pos_prior_at
img_2ae3e0c408fdb6d83118f6ea,rig_2cdcb12b87524dcabf8ab53f,left,1772726396843731968,0.0747,train,True,yaw_plus_35,2|3,outdoor,0,4,False,0.5381,1.6896,1.3881,accepted_independent_pos_prior_at
img_c77512e4e0ce2d4fa776ea2d,rig_e6e5a94fe91931079cceaf87,right,1772726397343741952,0.0769,train,False,,0|1|2|3,outdoor,0,5,False,0.8917,1.9397,1.3974,accepted_independent_pos_prior_at
img_bffdcc7ee41289ae3a61b39a,rig_e6e5a94fe91931079cceaf87,left,1772726397343757824,0.0769,train,True,yaw_minus_35,2|3,outdoor,0,5,False,0.8917,1.9397,1.3974,accepted_independent_pos_prior_at
img_f218d51dae29bd11fe08c9e2,rig_f0af01a9cee1d04f58cbbb9f,right,1772726397843756800,0.0792,train,False,,0|1|2|3,outdoor,0,5,False,1.2674,2.1624,1.3789,accepted_independent_pos_prior_at
img_d149230582e76ff92f833847,rig_f0af01a9cee1d04f58cbbb9f,left,1772726397843773952,0.0792,train,True,pitch_down_56,2|3,outdoor,0,5,False,1.2674,2.1624,1.3789,accepted_independent_pos_prior_at
img_3a1483836f813dc9ad7e4edb,rig_5c02d0174791430a31e970bf,right,1772726398343756800,0.0814,train,True,pitch_up_56,0|1|2|3,outdoor,0,6,False,1.6079,2.4277,1.3902,accepted_independent_pos_prior_at
img_3e88d0dfb8ec76e7b1d751e2,rig_5c02d0174791430a31e970bf,left,1772726398343771904,0.0814,train,False,,2|3,outdoor,0,6,False,1.6079,2.4277,1.3902,accepted_independent_pos_prior_at
img_88226fd046cc5356cc68c8ec,rig_efcd62d71c5d28e141da5cb3,right,1772726398843760896,0.0837,train,False,,0|1|2|3,outdoor,0,5,False,1.9008,2.7291,1.3862,accepted_independent_pos_prior_at
img_118dfff94fcc01a22eedc2e8,rig_efcd62d71c5d28e141da5cb3,left,1772726398843777024,0.0837,train,True,yaw_plus_35,2|3,outdoor,0,5,False,1.9008,2.7291,1.3862,accepted_independent_pos_prior_at
img_9f8e6e6735bab2261cf49998,rig_8bde27053478a07cd47f4415,right,1772726399343814912,0.086,train,False,,0|1|2|3,outdoor,0,5,False,2.244,2.9482,1.3696,accepted_independent_pos_prior_at
img_59c328a30ed6112505cd2268,rig_8bde27053478a07cd47f4415,left,1772726399343816960,0.086,train,True,yaw_minus_35,2|3,outdoor,0,5,False,2.244,2.9482,1.3696,accepted_independent_pos_prior_at
img_552ccaef249d70922a2b9ae7,rig_7e0029c18aafeeabec73c08f,right,1772726399843804928,0.0882,train,False,,0|1|2|3,outdoor,0,5,False,2.5093,3.1843,1.3613,accepted_independent_pos_prior_at
img_9fff771b01cbbb84aede4919,rig_7e0029c18aafeeabec73c08f,left,1772726399843821056,0.0882,train,True,yaw_plus_35,2|3,outdoor,0,5,False,2.5093,3.1843,1.3613,accepted_independent_pos_prior_at
img_03470cda035b5adeddb4a5b3,rig_45254873f743668026e05080,right,1772726400343847936,0.0905,train,True,pitch_down_56,0|1|2|3,outdoor,0,5,False,2.7609,3.3457,1.3627,accepted_independent_pos_prior_at
img_8176d36ae3b7dfeb51721892,rig_45254873f743668026e05080,left,1772726400343864064,0.0905,train,True,pitch_up_56,2|3,outdoor,0,5,False,2.7609,3.3457,1.3627,accepted_independent_pos_prior_at
img_68f31368a376525690e48608,rig_e3b31d945474d7df98786cf7,right,1772726400843888896,0.0928,train,False,,0|1|2|3,outdoor,0,4,False,3.1184,3.4932,1.3838,accepted_independent_pos_prior_at
img_5cf9d1382308cfa305655804,rig_e3b31d945474d7df98786cf7,left,1772726400843904000,0.0928,train,True,pitch_down_56,2|3,outdoor,0,4,False,3.1184,3.4932,1.3838,accepted_independent_pos_prior_at
img_92dd1fda516c07508a76a56c,rig_a3034e10afdfd13c3bb3b127,right,1772726401343922944,0.095,train,True,pitch_down_56,0|1|2|3,outdoor,0,5,False,3.4804,3.6626,1.3768,accepted_independent_pos_prior_at
img_5feae9f76544f90eda804478,rig_a3034e10afdfd13c3bb3b127,left,1772726401343939072,0.095,train,False,,2|3,outdoor,0,5,False,3.4804,3.6626,1.3768,accepted_independent_pos_prior_at
img_8c80111aab308428694788f4,rig_1cb9c5d4c879116ef855a1a5,right,1772726401843961088,0.0973,train,True,yaw_minus_35,0|1|2|3,outdoor,0,5,False,3.8458,3.7021,1.3599,accepted_independent_pos_prior_at
img_a5821da77bd01917280213c1,rig_1cb9c5d4c879116ef855a1a5,left,1772726401843976960,0.0973,train,True,yaw_minus_35,2|3,outdoor,0,5,False,3.8458,3.7021,1.3599,accepted_independent_pos_prior_at
img_df46b1666c566e3ae900c93b,rig_63977d60ee824dce1a601b9b,right,1772726402344006912,0.0995,train,True,yaw_plus_35,0|1|2|3,outdoor,0,4,False,4.243,3.7584,1.3746,accepted_independent_pos_prior_at
img_ff39ce60372fe31cfff4dc43,rig_63977d60ee824dce1a601b9b,left,1772726402344023040,0.0995,train,False,,2|3,outdoor,0,4,False,4.243,3.7584,1.3746,accepted_independent_pos_prior_at
img_72d329aaeffd9ca5bb751d0f,rig_8685b41aac1770a226eb43f6,right,1772726402844056832,0.1018,train,False,,0|1|2|3,outdoor,0,4,False,4.5891,3.8193,1.3831,accepted_independent_pos_prior_at
img_25e6a3ccf8f993f62610918f,rig_8685b41aac1770a226eb43f6,left,1772726402844072960,0.1018,train,False,,2|3,outdoor,0,4,False,4.5891,3.8193,1.3831,accepted_independent_pos_prior_at
img_298eb4ad7a7fb190d39583ea,rig_98411c0aa32b79a2d0ca9baa,right,1772726403344114176,0.1041,train,False,,0|1|2|3,outdoor,0,4,False,4.913,3.7808,1.3689,accepted_independent_pos_prior_at
img_37246760b5ed4ed5a5e1b554,rig_98411c0aa32b79a2d0ca9baa,left,1772726403344131072,0.1041,train,False,,2|3,outdoor,0,4,False,4.913,3.7808,1.3689,accepted_independent_pos_prior_at
img_bca1f40e65c0073ea5c3b207,rig_950ebaef281cbcf80c72a826,right,1772726403844158976,0.1063,train,False,,0|1|2|3,outdoor,0,4,False,5.1743,3.805,1.3809,accepted_independent_pos_prior_at
img_29d23f4728629b14cbc9d1c0,rig_950ebaef281cbcf80c72a826,left,1772726403844177920,0.1063,train,False,,2|3,outdoor,0,4,False,5.1743,3.805,1.3809,accepted_independent_pos_prior_at
img_65f505414e53514b40c87f66,rig_b288ec74ca1539f772649716,right,1772726404344176128,0.1086,train,False,,0|1|2|3,outdoor,0,3,False,5.346,3.8236,1.3829,accepted_independent_pos_prior_at
img_750ed64f5a06937cd1e4fa08,rig_b288ec74ca1539f772649716,left,1772726404344192000,0.1086,train,False,,2|3,outdoor,0,3,False,5.346,3.8236,1.3829,accepted_independent_pos_prior_at
img_20db9aea57590d693ed1f417,rig_06c6acc11162079bbf66bfcb,right,1772726404844192000,0.1109,train,False,,0|1|2|3,outdoor,0,3,False,5.5305,3.7219,1.3706,accepted_independent_pos_prior_at
img_de3ad288ce825697ce6af212,rig_06c6acc11162079bbf66bfcb,left,1772726404844208896,0.1109,train,False,,2|3,outdoor,0,3,False,5.5305,3.7219,1.3706,accepted_independent_pos_prior_at
img_7e5fa33d0d13a5a9e8727f84,rig_73278438c5987edce280624d,right,1772726405344205824,0.1131,train,False,,0|1|2|3,outdoor,0,3,False,5.7179,3.5797,1.3673,accepted_independent_pos_prior_at
img_137fc7a6b6690290c21a8800,rig_73278438c5987edce280624d,left,1772726405344221952,0.1131,train,False,,2|3,outdoor,0,3,False,5.7179,3.5797,1.3673,accepted_independent_pos_prior_at
img_2cb25c84f93cba5efbbe84c5,rig_a9ee8dfa439c365279d61976,right,1772726405844225792,0.1154,train,False,,0|1|2|3,outdoor,0,3,False,5.982,3.4225,1.3697,accepted_independent_pos_prior_at
img_0438825960239522ce92a086,rig_a9ee8dfa439c365279d61976,left,1772726405844240896,0.1154,train,False,,2|3,outdoor,0,3,False,5.982,3.4225,1.3697,accepted_independent_pos_prior_at
img_5bf2570751fa5012e024eb20,rig_b1b4744543888aaed04abc31,right,1772726406344256768,0.1176,train,False,,0|1|2|3,outdoor,0,3,False,6.219,3.28,1.3953,accepted_independent_pos_prior_at
img_15fea5143b9ed9b965e29b36,rig_b1b4744543888aaed04abc31,left,1772726406344272896,0.1176,train,False,,2|3,outdoor,0,3,False,6.219,3.28,1.3953,accepted_independent_pos_prior_at
img_59524914ac06cf1a2d6e317a,rig_a4484fe11e03722462ec74f3,right,1772726406844327936,0.1199,train,False,,0|1|2|3,outdoor,0,5,False,6.5067,3.1436,1.4194,accepted_independent_pos_prior_at
img_7fc70193a1c9db1d85cc998e,rig_a4484fe11e03722462ec74f3,left,1772726406844329984,0.1199,train,False,,2|3,outdoor,0,5,False,6.5067,3.1436,1.4194,accepted_independent_pos_prior_at
img_cc49a20a9f67e4bfb75ac5cd,rig_7aef461595f805c89596172b,right,1772726407344320000,0.1222,train,False,,0|1|2|3,outdoor,0,5,False,6.8568,3.0744,1.3932,accepted_independent_pos_prior_at
img_36e0205c98558c91ecf7584a,rig_7aef461595f805c89596172b,left,1772726407344336128,0.1222,train,False,,2|3,outdoor,0,5,False,6.8568,3.0744,1.3932,accepted_independent_pos_prior_at
img_43880861e0630f5d7ac7cc0d,rig_e601727fcbd717550873cb63,right,1772726407844350976,0.1244,train,False,,0|1|2|3,outdoor,0,4,False,7.1414,2.9505,1.386,accepted_independent_pos_prior_at
img_7d06dbe48c57eacee34b64be,rig_e601727fcbd717550873cb63,left,1772726407844367104,0.1244,train,False,,2|3,outdoor,0,4,False,7.1414,2.9505,1.386,accepted_independent_pos_prior_at
img_6ed6c4d41155b1fef7584c54,rig_67a9228c1efdcd385969f983,right,1772726408344381952,0.1267,train,False,,0|1|2|3,outdoor,0,4,False,7.4584,2.8233,1.4054,accepted_independent_pos_prior_at
img_9dc91b94d046c1df9d217aee,rig_67a9228c1efdcd385969f983,left,1772726408344398848,0.1267,train,False,,2|3,outdoor,0,4,False,7.4584,2.8233,1.4054,accepted_independent_pos_prior_at
img_53e20a3aa805e1f7b110ddf9,rig_a79b081ba3a99dbcf8a0dd11,right,1772726408844413952,0.129,train,False,,0|1|2|3,outdoor,0,4,False,7.8143,2.8475,1.4173,accepted_independent_pos_prior_at
img_e562ab7a1e826741726f0f32,rig_a79b081ba3a99dbcf8a0dd11,left,1772726408844430080,0.129,train,False,,2|3,outdoor,0,4,False,7.8143,2.8475,1.4173,accepted_independent_pos_prior_at
img_592f2c020773fd3d0eba846b,rig_28b837fa6430a71dc20de2a4,right,1772726409344444928,0.1312,train,False,,0|1|2|3,outdoor,0,4,False,8.1336,2.8518,1.4196,accepted_independent_pos_prior_at
img_373b64b7f7265a6208ff2cda,rig_28b837fa6430a71dc20de2a4,left,1772726409344460032,0.1312,train,False,,2|3,outdoor,0,4,False,8.1336,2.8518,1.4196,accepted_independent_pos_prior_at
img_732560e3ddae6ed22512b874,rig_1b77278a024b36d79631b868,right,1772726409844475136,0.1335,train,False,,0|1|2|3,outdoor,0,4,False,8.441,2.8248,1.4514,accepted_independent_pos_prior_at
img_241bf65803f5d5bdb63fa53d,rig_1b77278a024b36d79631b868,left,1772726409844491008,0.1335,train,False,,2|3,outdoor,0,4,False,8.441,2.8248,1.4514,accepted_independent_pos_prior_at
img_a14105de462c87fe3f894b4d,rig_fecabf1f0df1d4efe3758382,right,1772726410344506880,0.1357,train,False,,0|1|2|3,outdoor,0,3,False,8.7423,2.8639,1.4608,accepted_independent_pos_prior_at
img_1c484dfbc739f998461e0252,rig_fecabf1f0df1d4efe3758382,left,1772726410344523008,0.1357,train,False,,2|3,outdoor,0,3,False,8.7423,2.8639,1.4608,accepted_independent_pos_prior_at
img_7a41592105a1e385ea290380,rig_497c4abbdddec44fc1e5c68e,right,1772726410844537856,0.138,train,False,,0|1|2|3,outdoor,0,3,False,9.0002,2.8387,1.4485,accepted_independent_pos_prior_at
img_76feac06669caa33d9d03c46,rig_497c4abbdddec44fc1e5c68e,left,1772726410844553984,0.138,train,False,,2|3,outdoor,0,3,False,9.0002,2.8387,1.4485,accepted_independent_pos_prior_at
img_ea1f81bdd6efac58674c0e1b,rig_e0b76e648edd0850c5717ab3,right,1772726411344570880,0.1403,train,False,,0|1|2|3,outdoor,0,4,False,9.3569,2.79,1.4634,accepted_independent_pos_prior_at
img_d76fad2c039eb7392b547d6f,rig_e0b76e648edd0850c5717ab3,left,1772726411344586752,0.1403,train,False,,3,outdoor,0,4,False,9.3569,2.79,1.4634,accepted_independent_pos_prior_at
